entryX,exitX,entryTime,exitTime,entryStatus,entryPrice,exitPrice,profitPips
166,177,2018-09-17 01:45:00,2018-09-17 02:40:00,-1,111.961,111.982,-2.6
195,201,2018-09-17 04:10:00,2018-09-17 04:40:00,1,112.072,112.046,-3.1
226,241,2018-09-17 06:45:00,2018-09-17 08:00:00,-1,111.961,111.965,-0.9
244,251,2018-09-17 08:15:00,2018-09-17 08:50:00,1,111.974,111.970,-0.9
262,268,2018-09-17 09:45:00,2018-09-17 10:15:00,1,111.988,111.963,-3.0
275,281,2018-09-17 10:50:00,2018-09-17 11:20:00,1,111.884,111.915,2.6
299,308,2018-09-17 12:50:00,2018-09-17 13:35:00,1,111.953,111.993,3.5
324,349,2018-09-17 14:55:00,2018-09-17 17:00:00,-1,112.025,111.969,5.1
367,373,2018-09-17 18:30:00,2018-09-17 19:00:00,1,111.992,111.960,-3.7
377,391,2018-09-17 19:20:00,2018-09-17 20:30:00,1,111.976,111.929,-5.2
399,402,2018-09-17 21:10:00,2018-09-17 21:25:00,1,111.913,111.933,1.5
407,407,2018-09-17 21:50:00,2018-09-17 21:50:00,1,111.944,111.944,-0.5
415,416,2018-09-17 22:30:00,2018-09-17 22:35:00,1,111.807,111.804,-0.8
416,421,2018-09-17 22:35:00,2018-09-17 23:00:00,-1,111.804,111.816,-1.7
421,432,2018-09-17 23:00:00,2018-09-17 23:55:00,1,111.816,111.845,2.4
453,456,2018-09-18 01:40:00,2018-09-18 01:55:00,-1,111.731,111.739,-1.3
472,473,2018-09-18 03:15:00,2018-09-18 03:20:00,1,111.736,111.764,2.3
477,489,2018-09-18 03:40:00,2018-09-18 04:40:00,1,111.771,111.860,8.4
490,492,2018-09-18 04:45:00,2018-09-18 04:55:00,1,111.837,111.872,3.0
508,510,2018-09-18 06:15:00,2018-09-18 06:25:00,1,111.936,111.949,0.8
534,553,2018-09-18 08:25:00,2018-09-18 10:00:00,1,111.988,112.214,22.1
569,591,2018-09-18 11:20:00,2018-09-18 13:10:00,-1,111.924,112.021,-10.2
595,605,2018-09-18 13:30:00,2018-09-18 14:20:00,1,112.067,112.087,1.5
619,620,2018-09-18 15:30:00,2018-09-18 15:35:00,1,112.178,112.192,0.9
631,632,2018-09-18 16:30:00,2018-09-18 16:35:00,1,112.173,112.218,4.0
668,674,2018-09-18 19:35:00,2018-09-18 20:05:00,-1,112.278,112.333,-6.0
696,701,2018-09-18 21:55:00,2018-09-18 22:20:00,1,112.341,112.350,0.4
707,708,2018-09-18 22:50:00,2018-09-18 22:55:00,1,112.340,112.332,-1.3
711,732,2018-09-18 23:10:00,2018-09-19 00:55:00,-1,112.318,112.352,-3.9
765,767,2018-09-19 03:40:00,2018-09-19 03:50:00,1,112.262,112.271,0.4
772,778,2018-09-19 04:15:00,2018-09-19 04:45:00,-1,112.278,112.294,-2.1
784,786,2018-09-19 05:15:00,2018-09-19 05:25:00,1,112.303,112.326,1.8
789,795,2018-09-19 05:40:00,2018-09-19 06:10:00,1,112.312,112.339,2.2
823,829,2018-09-19 08:30:00,2018-09-19 09:00:00,-1,112.267,112.267,-0.5
837,839,2018-09-19 09:40:00,2018-09-19 09:50:00,1,112.342,112.342,-0.5
845,846,2018-09-19 10:20:00,2018-09-19 10:25:00,-1,112.317,112.276,3.6
858,859,2018-09-19 11:25:00,2018-09-19 11:30:00,1,112.341,112.366,2.0
